# gunzip -c exp/tri1/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1/graph 
# Started at Tue Jul 13 13:24:16 CEST 2021
#
At utterance begin, SIL accounts for 94.1% of phone occurrences, with duration (median, mean, 95-percentile) is (87,80.2,124) frames.
Overall, F_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,15) frames.
Overall, IH1_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.4,32) frames.
Overall, P_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,13) frames.
Overall, AE1_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,21) frames.
Overall, AH0_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,19) frames.
Overall, AY1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.6,23) frames.
Overall, AO1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.9,25) frames.
Overall, AO1_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,19) frames.
Overall, UW1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,16.8,56) frames.
Overall, AA1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,20) frames.
Overall, N_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, L_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,18) frames.
Overall, IH0_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.2,16) frames.
Overall, Y_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.8,20) frames.
Overall, ER0_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,12) frames.
Overall, EY1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,17) frames.
Overall, V_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,15.6,42) frames.
Overall, OW1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.1,25) frames.
Overall, IY1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,24) frames.
Overall, B_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,12) frames.
Overall, M_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,17.8,58) frames.
Overall, M_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,10) frames.
Overall, ER0_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,12.4,25) frames.
Overall, AE1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,21) frames.
Overall, EH1_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,28) frames.
Overall, UH1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, IH0_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.2,26) frames.
Overall, CH_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.4,36) frames.
Overall, D_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,8) frames.
Overall, SH_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.5,17) frames.
Overall, R_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
The optional-silence phone SIL occupies 33.1% of frames overall 
Limiting the stats to the 85.2% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 21.8% of frames.
Assuming 100 frames per second, the alignments represent 0.3 hours of data, or 0.2 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 3.9% of utterance-internal phones, with duration (median, mean, 95-percentile) = (56,69.4,193)
# Accounting: time=0 threads=1
# Ended (code 0) at Tue Jul 13 13:24:16 CEST 2021, elapsed time 0 seconds
