# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sun Jul  4 03:13:22 CEST 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 74.7422680412% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 96.4% of phone occurrences, with duration (median, mean, 95-percentile) is (83,78.6,110) frames.
At utterance end, D_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.3,6) frames.
At utterance end, M_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,32.3,40) frames.
At utterance end, OW0_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.3,9) frames.
At utterance end, NG_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,19.5,8) frames.
At utterance end, ER0_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,10) frames.
At utterance end, F_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.0,16) frames.
At utterance end, K_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.0,15) frames.
At utterance end, P_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,8) frames.
At utterance end, R_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,8) frames.
At utterance end, SH_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (29,29.0,29) frames.
Overall, nonsilence accounts for 91.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.1,31) frames.
Overall, SIL accounts for 7.3% of phone occurrences, with duration (median, mean, 95-percentile) is (65,76.6,202) frames.
Overall, AH0_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,9) frames.
Overall, N_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,18) frames.
Overall, T_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.3,35) frames.
Overall, T_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, W_B accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,17) frames.
Overall, DH_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.5,42) frames.
Overall, K_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
Overall, D_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.3,35) frames.
Overall, Z_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.7,42) frames.
Overall, R_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, S_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.1,37) frames.
Overall, IH1_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,14) frames.
Overall, N_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.5,36) frames.
Overall, AH0_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.1,15) frames.
Overall, IH0_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,11) frames.
Overall, S_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.3,18) frames.
Overall, EH1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,14) frames.
Overall, F_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.0,24) frames.
Overall, T_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,18) frames.
Overall, S_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,17) frames.
Overall, IH0_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,15) frames.
Overall, L_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.6,43) frames.
Overall, L_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,16) frames.
Overall, EY1_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.4,20) frames.
Overall, IY1_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,15.8,52) frames.
Overall, IY0_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,14.2,39) frames.
Overall, AH1_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,20) frames.
Overall, P_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.6,13) frames.
Overall, IY1_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,16) frames.
Overall, ER0_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.1,15) frames.
Overall, N_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,19) frames.
Overall, K_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,15) frames.
Overall, AE1_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,13) frames.
Overall, SPN_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (44,44.9,84) frames.
Overall, AE1_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,23) frames.
Overall, AY1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.2,24) frames.
Overall, D_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,12) frames.
Overall, R_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,21) frames.
Overall, AO1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,19) frames.
Overall, UW1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,22.0,58) frames.
Overall, D_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,10) frames.
Overall, AH0_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.4,16) frames.
Overall, V_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.5,37) frames.
Overall, Y_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.5,20) frames.
Overall, M_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,24.9,76) frames.
Overall, B_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, ER0_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,22.7,55) frames.
Overall, HH_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,17) frames.
Overall, L_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,16) frames.
Overall, AA1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,21) frames.
Overall, IH1_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,13.6,33) frames.
Overall, M_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,10) frames.
Overall, NG_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,18.6,45) frames.
Overall, AO1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.1,33) frames.
The optional-silence phone SIL occupies 34.6% of frames overall 
Limiting the stats to the 85.8% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 24.4% of frames.
Assuming 100 frames per second, the alignments represent 0.5 hours of data, or 0.3 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 4.3% of utterance-internal phones, with duration (median, mean, 95-percentile) = (59,81.6,221)
# Accounting: time=0 threads=1
# Ended (code 0) at Sun Jul  4 03:13:22 CEST 2021, elapsed time 0 seconds
